@T,table
Created,2022-06-07 09:15
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,double
Format,yyyy-MM-dd HH:mm,
,2004-08-17 11:00,956.0
,2004-08-17 12:00,955.95
,2004-08-17 13:00,955.65
,2004-08-17 14:00,955.2
,2004-08-17 15:00,955.1333333333332
,2004-08-17 16:00,955.175
,2004-08-17 17:00,954.7
,2004-08-17 18:00,954.95
,2004-08-17 19:00,955.425
,2004-08-17 20:00,956.5
,2004-08-17 21:00,956.8
,2004-08-17 22:00,957.05
,2004-08-17 23:00,957.35
,2004-08-18 00:00,957.4
,2004-08-18 01:00,957.225
,2004-08-18 02:00,957.175
,2004-08-18 03:00,957.1
,2004-08-18 04:00,957.025
,2004-08-18 05:00,957.5
,2004-08-18 06:00,957.925
,2004-08-18 07:00,958.1
,2004-08-18 08:00,957.95
,2004-08-18 09:00,957.8
,2004-08-18 10:00,957.575
,2004-08-18 11:00,957.225
,2004-08-18 12:00,956.9
,2004-08-18 13:00,956.875
,2004-08-18 14:00,957.025
,2004-08-18 15:00,956.975
,2004-08-18 16:00,956.9
,2004-08-18 17:00,957.025
,2004-08-18 18:00,957.1666666666666
,2004-08-18 19:00,957.7
,2004-08-18 20:00,958.0
,2004-08-18 21:00,958.05
,2004-08-18 22:00,958.4666666666668
,2004-08-18 23:00,958.625
,2004-08-19 00:00,958.6
,2004-08-19 01:00,958.3333333333334
,2004-08-19 02:00,958.575
,2004-08-19 03:00,958.6
,2004-08-19 04:00,958.825
,2004-08-19 05:00,959.025
,2004-08-19 06:00,959.1
,2004-08-19 07:00,959.2
,2004-08-19 08:00,958.675
,2004-08-19 09:00,958.25
,2004-08-19 10:00,957.8666666666668
,2004-08-19 11:00,956.75
,2004-08-19 12:00,956.4
,2004-08-19 13:00,956.125
,2004-08-19 14:00,955.5
,2004-08-19 15:00,955.2
,2004-08-19 16:00,954.7666666666668
,2004-08-19 17:00,954.675
,2004-08-19 18:00,954.85
,2004-08-19 19:00,955.2
,2004-08-19 20:00,955.4
,2004-08-19 21:00,955.425
,2004-08-19 22:00,955.175
,2004-08-19 23:00,954.8
,2004-08-20 00:00,954.65
,2004-08-20 01:00,954.25
,2004-08-20 02:00,953.725
,2004-08-20 03:00,953.325
,2004-08-20 04:00,952.85
,2004-08-20 05:00,952.975
,2004-08-20 06:00,953.1
,2004-08-20 07:00,952.675
,2004-08-20 08:00,952.325
,2004-08-20 09:00,951.95
,2004-08-20 10:00,952.3666666666668
,2004-08-20 11:00,951.65
,2004-08-20 12:00,950.95
,2004-08-20 13:00,950.075
,2004-08-20 14:00,949.525
,2004-08-20 15:00,950.275
,2004-08-20 16:00,950.375
,2004-08-20 17:00,949.8
,2004-08-20 18:00,949.725
,2004-08-20 19:00,949.825
,2004-08-20 20:00,950.25
,2004-08-20 21:00,950.375
,2004-08-20 22:00,951.125
,2004-08-20 23:00,951.4
,2004-08-21 00:00,951.5
,2004-08-21 01:00,951.525
,2004-08-21 02:00,951.375
,2004-08-21 03:00,951.125
,2004-08-21 04:00,950.9
,2004-08-21 05:00,950.95
,2004-08-21 06:00,951.45
,2004-08-21 07:00,951.45
,2004-08-21 08:00,951.7
,2004-08-21 09:00,952.8
,2004-08-21 10:00,954.25
,2004-08-21 11:00,954.6
,2004-08-21 12:00,954.225
,2004-08-21 13:00,953.9
,2004-08-21 14:00,953.5
,2004-08-21 15:00,953.275
,2004-08-21 16:00,953.2
,2004-08-21 17:00,953.4
,2004-08-21 18:00,953.7666666666668
,2004-08-21 19:00,954.825
,2004-08-21 20:00,956.15
,2004-08-21 21:00,957.425
,2004-08-21 22:00,958.275
,2004-08-21 23:00,959.2
,2004-08-22 00:00,959.425
,2004-08-22 01:00,960.05
,2004-08-22 02:00,960.225
,2004-08-22 03:00,960.525
,2004-08-22 04:00,960.825
,2004-08-22 05:00,961.575
,2004-08-22 06:00,962.225
,2004-08-22 07:00,962.725
,2004-08-22 08:00,962.45
,2004-08-22 09:00,961.925
,2004-08-22 10:00,961.175
,2004-08-22 11:00,960.625
,2004-08-22 12:00,960.3
,2004-08-22 13:00,959.775
,2004-08-22 14:00,959.3666666666668
,2004-08-22 15:00,958.95
,2004-08-22 16:00,959.2
,2004-08-22 17:00,959.8
,2004-08-22 18:00,959.9
,2004-08-22 19:00,961.3
,2004-08-22 20:00,961.9
,2004-08-22 21:00,962.45
,2004-08-22 22:00,963.025
,2004-08-22 23:00,963.325
,2004-08-23 00:00,963.6
,2004-08-23 01:00,963.75
,2004-08-23 02:00,964.025
,2004-08-23 03:00,964.125
,2004-08-23 04:00,964.15
,2004-08-23 05:00,964.55
,2004-08-23 06:00,965.0
,2004-08-23 07:00,964.9666666666668
,2004-08-23 08:00,964.825
,2004-08-23 09:00,964.575
,2004-08-23 10:00,963.975
,2004-08-23 11:00,963.1
,2004-08-23 12:00,962.7
,2004-08-23 13:00,962.2
,2004-08-23 14:00,961.8
,2004-08-23 15:00,961.375
,2004-08-23 16:00,961.2
,2004-08-23 17:00,961.025
,2004-08-23 18:00,961.125
,2004-08-23 19:00,962.0
,2004-08-23 20:00,963.075
,2004-08-23 21:00,963.3
,2004-08-23 22:00,963.4
,2004-08-23 23:00,963.75
,2004-08-24 00:00,963.75
,2004-08-24 01:00,963.525
,2004-08-24 02:00,963.025
,2004-08-24 03:00,963.15
,2004-08-24 04:00,962.6
,2004-08-24 05:00,962.575
,2004-08-24 06:00,962.4
,2004-08-24 07:00,961.625
,2004-08-24 08:00,961.25
,2004-08-24 09:00,961.025
,2004-08-24 10:00,960.5
,2004-08-24 11:00,959.425
,2004-08-24 12:00,958.15
,2004-08-24 13:00,958.1
,2004-08-24 14:00,957.5
,2004-08-24 15:00,956.8
,2004-08-24 16:00,956.525
,2004-08-24 17:00,956.325
,2004-08-24 18:00,956.675
,2004-08-24 19:00,957.075
,2004-08-24 20:00,957.525
,2004-08-24 21:00,957.625
,2004-08-24 22:00,957.575
,2004-08-24 23:00,957.525
,2004-08-25 00:00,957.7
,2004-08-25 01:00,957.575
,2004-08-25 02:00,957.5
,2004-08-25 03:00,957.25
,2004-08-25 04:00,957.1
,2004-08-25 05:00,957.175
