@T,table
Created,2022-05-17 11:12
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2013-12-15 11:00,286.4018969115047
,2013-12-15 12:00,285.52630615791713
,2013-12-15 13:00,285.3986142574394
,2013-12-15 14:00,284.5392881023763
,2013-12-15 15:00,283.18139267645137
,2013-12-15 16:00,282.3132227683047
,2013-12-15 17:00,281.35954319632685
,2013-12-15 18:00,280.83183860184016
,2013-12-15 19:00,280.6628539525202
,2013-12-15 20:00,280.54047501786687
,2013-12-15 21:00,280.6431954023602
,2013-12-15 22:00,280.58022557562447
,2013-12-15 23:00,280.03834168706715
,2013-12-16 00:00,279.8508528536838
,2013-12-16 01:00,279.8295830849391
,2013-12-16 02:00,279.47658157830125
,2013-12-16 03:00,279.6574703087502
,2013-12-16 04:00,279.5952778244856
,2013-12-16 05:00,279.3410250656017
,2013-12-16 06:00,279.38406547679995
,2013-12-16 07:00,279.36423754115077
,2013-12-16 08:00,283.4045753032827
,2013-12-16 09:00,284.636615464674
,2013-12-16 10:00,284.8451290917017
,2013-12-16 11:00,285.8687857901574
,2013-12-16 12:00,285.8042867440722
,2013-12-16 13:00,285.21722235068165
,2013-12-16 14:00,284.4280541675574
,2013-12-16 15:00,282.7174098630367
,2013-12-16 16:00,282.20312732961895
,2013-12-16 17:00,281.49582137400756
,2013-12-16 18:00,281.1082350186862
,2013-12-16 19:00,280.97298226988005
,2013-12-16 20:00,281.0219915778177
,2013-12-16 21:00,281.21184105796027
,2013-12-16 22:00,281.29868445299235
,2013-12-16 23:00,280.8557045480862
,2013-12-17 00:00,280.37441038144624
,2013-12-17 01:00,280.27447113354117
,2013-12-17 02:00,280.158689076278
,2013-12-17 03:00,280.3923201769571
,2013-12-17 04:00,280.1347759507697
,2013-12-17 05:00,279.9435758329486
,2013-12-17 06:00,280.07263168358054
,2013-12-17 07:00,279.62204511231124
,2013-12-17 08:00,284.0697616161772
,2013-12-17 09:00,286.3354986625378
,2013-12-17 10:00,286.0051943403755
,2013-12-17 11:00,286.84581706620673
,2013-12-17 12:00,285.9017380720804
,2013-12-17 13:00,285.9438205673723
,2013-12-17 14:00,285.1996831533084
,2013-12-17 15:00,283.5259073205472
,2013-12-17 16:00,282.5055349745899
,2013-12-17 17:00,281.61881927195714
,2013-12-17 18:00,281.392406382973
,2013-12-17 19:00,280.47583640676766
,2013-12-17 20:00,280.4119348662686
,2013-12-17 21:00,279.91897667093644
,2013-12-17 22:00,279.8806496147369
,2013-12-17 23:00,279.1690758010112
,2013-12-18 00:00,278.98114303733496
,2013-12-18 01:00,278.3416470689901
,2013-12-18 02:00,279.26199833840025
,2013-12-18 03:00,278.67098552387506
,2013-12-18 04:00,278.1963333850251
,2013-12-18 05:00,278.127484535645
,2013-12-18 06:00,277.9578344187792
,2013-12-18 07:00,278.0944568905511
,2013-12-18 08:00,283.29185387119
,2013-12-18 09:00,286.07991118034585
,2013-12-18 10:00,286.97519159777715
,2013-12-18 11:00,287.0036722646263
,2013-12-18 12:00,286.77359921390354
,2013-12-18 13:00,286.6632953090864
,2013-12-18 14:00,285.96691723686484
,2013-12-18 15:00,284.22618237093246
,2013-12-18 16:00,283.2611650752791
,2013-12-18 17:00,281.3208957357618
,2013-12-18 18:00,280.42616054180684
,2013-12-18 19:00,279.5073494429212
,2013-12-18 20:00,278.9801264323718
,2013-12-18 21:00,279.60873456626973
,2013-12-18 22:00,279.36120432378374
,2013-12-18 23:00,278.67369977167385
,2013-12-19 00:00,278.7170598115322
,2013-12-19 01:00,278.35202565028806
,2013-12-19 02:00,278.42278950703815
,2013-12-19 03:00,278.7900082208441
,2013-12-19 04:00,278.2637724196488
,2013-12-19 05:00,278.27457177794395
,2013-12-19 06:00,278.08006985138087
,2013-12-19 07:00,277.4475903565474
,2013-12-19 08:00,281.900474353699
,2013-12-19 09:00,284.5428670740538
,2013-12-19 10:00,285.8095263072077
,2013-12-19 11:00,286.4894050449974
,2013-12-19 12:00,285.31541048179776
,2013-12-19 13:00,286.02060397060876
,2013-12-19 14:00,285.3413665070351
,2013-12-19 15:00,283.70270714383867
,2013-12-19 16:00,282.14885288796256
,2013-12-19 17:00,280.1783609548076
,2013-12-19 18:00,279.8916026161272
,2013-12-19 19:00,279.49896892110803
,2013-12-19 20:00,279.0665386125142
,2013-12-19 21:00,279.01003347731324
,2013-12-19 22:00,279.02110207849694
,2013-12-19 23:00,278.72304116384237
,2013-12-20 00:00,278.79136867717
,2013-12-20 01:00,278.4012019538193
,2013-12-20 02:00,277.91841067859934
,2013-12-20 03:00,277.7303880242113
,2013-12-20 04:00,278.0132456625168
,2013-12-20 05:00,278.0694091824153
,2013-12-20 06:00,278.63185693286584
,2013-12-20 07:00,278.28951091821494
,2013-12-20 08:00,282.87585621835115
,2013-12-20 09:00,285.27514965875844
,2013-12-20 10:00,286.35835690006985
,2013-12-20 11:00,287.0382743372183
,2013-12-20 12:00,286.5569097800663
,2013-12-20 13:00,286.4382767537349
,2013-12-20 14:00,285.7510867944302
,2013-12-20 15:00,283.8865655917586
,2013-12-20 16:00,282.8570490570731
,2013-12-20 17:00,280.70480376704535
,2013-12-20 18:00,280.0548790059482
,2013-12-20 19:00,279.40677158027984
,2013-12-20 20:00,279.59103839838616
,2013-12-20 21:00,279.5523450889482
,2013-12-20 22:00,280.0405147489831
,2013-12-20 23:00,279.90336457412906
,2013-12-21 00:00,280.3072553404027
,2013-12-21 01:00,279.81086074275737
,2013-12-21 02:00,279.36801219723475
,2013-12-21 03:00,279.09816592134393
,2013-12-21 04:00,279.1897298291792
,2013-12-21 05:00,279.42381130332325
,2013-12-21 06:00,279.426770852221
,2013-12-21 07:00,279.26430961521976
,2013-12-21 08:00,283.59186246652666
,2013-12-21 09:00,284.64435114123677
,2013-12-21 10:00,286.0104260550135
,2013-12-21 11:00,286.5366140360635
,2013-12-21 12:00,285.6193815545516
,2013-12-21 13:00,285.9348826994483
,2013-12-21 14:00,284.51806331763487
,2013-12-21 15:00,283.5834113912943
,2013-12-21 16:00,282.5287476656122
,2013-12-21 17:00,281.6544084961206
,2013-12-21 18:00,280.6216046648505
