@T,table
Created,2022-06-24 10:17
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2019-01-01 00:00,3.1091344366900064E-4
,2019-01-01 01:00,3.107258729969969E-4
,2019-01-01 02:00,3.1012956180530044E-4
,2019-01-01 03:00,3.097905448060659E-4
,2019-01-01 04:00,3.085957536973183E-4
,2019-01-01 05:00,3.086190459749506E-4
,2019-01-01 06:00,3.0802602618914957E-4
,2019-01-01 07:00,0.057780902063329954
,2019-01-01 08:00,0.1746524316374437
,2019-01-01 09:00,0.2556268015303072
,2019-01-01 10:00,0.2959838809302149
,2019-01-01 11:00,0.29021320370672554
,2019-01-01 12:00,0.2407486518317338
,2019-01-01 13:00,0.14747095833195722
,2019-01-01 14:00,0.019414671782585203
,2019-01-01 15:00,3.1878364033477967E-4
,2019-01-01 16:00,3.1407896560973765E-4
,2019-01-01 17:00,3.117097177816219E-4
,2019-01-01 18:00,3.102893138606305E-4
,2019-01-01 19:00,3.0864636085154703E-4
,2019-01-01 20:00,3.074092585468208E-4
,2019-01-01 21:00,3.068325398122534E-4
,2019-01-01 22:00,3.0567034241925123E-4
,2019-01-01 23:00,3.0475093660886464E-4
,2019-01-02 00:00,3.0361510952692217E-4
,2019-01-02 01:00,3.033283947900759E-4
,2019-01-02 02:00,3.0304113657553836E-4
,2019-01-02 03:00,3.0362157516080924E-4
,2019-01-02 04:00,3.066632515213711E-4
,2019-01-02 05:00,3.117509380658428E-4
,2019-01-02 06:00,3.2079219711413537E-4
,2019-01-02 07:00,0.059614573850519686
,2019-01-02 08:00,0.17748942326751851
,2019-01-02 09:00,0.25886954699857523
,2019-01-02 10:00,0.2993262319420309
,2019-01-02 11:00,0.29181226760711704
,2019-01-02 12:00,0.24066773256324756
,2019-01-02 13:00,0.14811531234369105
,2019-01-02 14:00,0.02019548236245818
,2019-01-02 15:00,3.184122954775452E-4
,2019-01-02 16:00,3.147565352346375E-4
,2019-01-02 17:00,3.12656935683414E-4
,2019-01-02 18:00,3.109793251786669E-4
,2019-01-02 19:00,3.136329257717692E-4
,2019-01-02 20:00,3.1319271508442235E-4
,2019-01-02 21:00,3.1235922113916813E-4
,2019-01-02 22:00,3.1291574956243234E-4
,2019-01-02 23:00,3.1296831763117576E-4
,2019-01-03 00:00,3.12721371372783E-4
,2019-01-03 01:00,3.102418881023316E-4
,2019-01-03 02:00,3.123217849824255E-4
,2019-01-03 03:00,3.12970470239455E-4
,2019-01-03 04:00,3.126833110485941E-4
,2019-01-03 05:00,3.1064408074238343E-4
,2019-01-03 06:00,3.112470087849307E-4
,2019-01-03 07:00,0.05718341758776108
,2019-01-03 08:00,0.1739088053871789
,2019-01-03 09:00,0.2536417010020289
,2019-01-03 10:00,0.2956475620575097
,2019-01-03 11:00,0.28904896098705246
,2019-01-03 12:00,0.24034999255140763
,2019-01-03 13:00,0.1471444610865891
,2019-01-03 14:00,0.01968345196268154
,2019-01-03 15:00,3.1913382680973275E-4
,2019-01-03 16:00,3.149958130426282E-4
,2019-01-03 17:00,3.131400036030954E-4
,2019-01-03 18:00,3.139148001063651E-4
,2019-01-03 19:00,3.136035681468043E-4
,2019-01-03 20:00,3.133923921207832E-4
,2019-01-03 21:00,3.12729354256446E-4
,2019-01-03 22:00,3.1253850230449927E-4
,2019-01-03 23:00,3.1297251442655264E-4
,2019-01-04 00:00,3.124959937389574E-4
,2019-01-04 01:00,3.127317706773517E-4
,2019-01-04 02:00,3.101373804880509E-4
,2019-01-04 03:00,3.1058511076127417E-4
,2019-01-04 04:00,3.105991559632638E-4
,2019-01-04 05:00,3.070525591598736E-4
,2019-01-04 06:00,3.074028078430173E-4
,2019-01-04 07:00,0.05800239705119334
,2019-01-04 08:00,0.17354672302145116
,2019-01-04 09:00,0.25180489607026435
,2019-01-04 10:00,0.2918339143090516
,2019-01-04 11:00,0.2878385260428649
,2019-01-04 12:00,0.2383604398659013
,2019-01-04 13:00,0.14613218887088997
,2019-01-04 14:00,0.01924177034655022
,2019-01-04 15:00,3.1489469115270703E-4
,2019-01-04 16:00,3.117318348798131E-4
,2019-01-04 17:00,3.0968675771305613E-4
,2019-01-04 18:00,3.086456176282911E-4
,2019-01-04 19:00,3.071456380195519E-4
,2019-01-04 20:00,3.060684465789558E-4
,2019-01-04 21:00,3.0559667665329995E-4
,2019-01-04 22:00,3.0442299031873126E-4
,2019-01-04 23:00,3.0459214859915025E-4
,2019-01-05 00:00,3.0394617897377355E-4
,2019-01-05 01:00,3.029043442466005E-4
,2019-01-05 02:00,3.026247019664312E-4
,2019-01-05 03:00,3.019464182342261E-4
,2019-01-05 04:00,3.012221304527741E-4
,2019-01-05 05:00,3.00372985354019E-4
,2019-01-05 06:00,3.0002930825032777E-4
,2019-01-05 07:00,0.05733812257566572
,2019-01-05 08:00,0.17429072920809702
,2019-01-05 09:00,0.25328930294104474
,2019-01-05 10:00,0.29247338832896724
,2019-01-05 11:00,0.28795981194988374
,2019-01-05 12:00,0.24133319440087297
,2019-01-05 13:00,0.14804703009827636
,2019-01-05 14:00,0.02121956458194809
,2019-01-05 15:00,3.2659540936574275E-4
,2019-01-05 16:00,3.2621635465972113E-4
,2019-01-05 17:00,3.26113134165652E-4
,2019-01-05 18:00,3.253103214585995E-4
,2019-01-05 19:00,3.2444709571559106E-4
,2019-01-05 20:00,3.246229320213355E-4
,2019-01-05 21:00,3.244076216404418E-4
,2019-01-05 22:00,3.2574925623163006E-4
,2019-01-05 23:00,3.252100099875958E-4
,2019-01-06 00:00,3.23315173891378E-4
,2019-01-06 01:00,3.2061738965856505E-4
,2019-01-06 02:00,3.1919327293547994E-4
,2019-01-06 03:00,3.2025923556434915E-4
,2019-01-06 04:00,3.169053759104683E-4
,2019-01-06 05:00,3.140835276970125E-4
,2019-01-06 06:00,3.1457191387207885E-4
,2019-01-06 07:00,0.055441449956555554
,2019-01-06 08:00,0.17356390572204328
,2019-01-06 09:00,0.25423393582978254
,2019-01-06 10:00,0.2946465544589488
,2019-01-06 11:00,0.28952868421147704
,2019-01-06 12:00,0.24076232229908637
,2019-01-06 13:00,0.14862920144222216
