@T,table
Created,2022-06-15 14:35
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2019-01-01 00:00,7.7478916807096E-5
,2019-01-01 01:00,7.743491248717246E-5
,2019-01-01 02:00,7.729255690487594E-5
,2019-01-01 03:00,7.721122278838052E-5
,2019-01-01 04:00,7.692345668783324E-5
,2019-01-01 05:00,7.692883263397662E-5
,2019-01-01 06:00,7.678686857724776E-5
,2019-01-01 07:00,0.08881083589291532
,2019-01-01 08:00,0.26924841749458556
,2019-01-01 09:00,0.39425098282708726
,2019-01-01 10:00,0.4564688523946382
,2019-01-01 11:00,0.4473591258139556
,2019-01-01 12:00,0.3708595730394758
,2019-01-01 13:00,0.2269230221616466
,2019-01-01 14:00,0.029513764778373537
,2019-01-01 15:00,7.936966707763126E-5
,2019-01-01 16:00,7.822713216399627E-5
,2019-01-01 17:00,7.765319583978833E-5
,2019-01-01 18:00,7.730911526618852E-5
,2019-01-01 19:00,7.691143852021201E-5
,2019-01-01 20:00,7.661160850942867E-5
,2019-01-01 21:00,7.647119957002101E-5
,2019-01-01 22:00,7.618874723769638E-5
,2019-01-01 23:00,7.596453239900732E-5
,2019-01-02 00:00,7.568991206166056E-5
,2019-01-02 01:00,7.56209556614458E-5
,2019-01-02 02:00,7.555188636834113E-5
,2019-01-02 03:00,7.56892437275489E-5
,2019-01-02 04:00,7.64197825694534E-5
,2019-01-02 05:00,7.76461574323253E-5
,2019-01-02 06:00,7.984362496675371E-5
,2019-01-02 07:00,0.0914641949094754
,2019-01-02 08:00,0.27322971795739553
,2019-01-02 09:00,0.3987277764099679
,2019-01-02 10:00,0.4610554819247756
,2019-01-02 11:00,0.4494537175168577
,2019-01-02 12:00,0.37059554589497173
,2019-01-02 13:00,0.2279190867503449
,2019-01-02 14:00,0.03072094112878332
,2019-01-02 15:00,7.927420121939397E-5
,2019-01-02 16:00,7.838683780223813E-5
,2019-01-02 17:00,7.787881338229383E-5
,2019-01-02 18:00,7.747587339381688E-5
,2019-01-02 19:00,7.811946557742426E-5
,2019-01-02 20:00,7.801400843227844E-5
,2019-01-02 21:00,7.781399295736589E-5
,2019-01-02 22:00,7.794834773749267E-5
,2019-01-02 23:00,7.796112350782114E-5
,2019-01-03 00:00,7.790121923291543E-5
,2019-01-03 01:00,7.730384563042422E-5
,2019-01-03 02:00,7.78068266782114E-5
,2019-01-03 03:00,7.796272621831077E-5
,2019-01-03 04:00,7.789278579834605E-5
,2019-01-03 05:00,7.74012271367034E-5
,2019-01-03 06:00,7.754803407270776E-5
,2019-01-03 07:00,0.08785448469063453
,2019-01-03 08:00,0.2679709085908432
,2019-01-03 09:00,0.390854055507032
,2019-01-03 10:00,0.45552122602754436
,2019-01-03 11:00,0.4452910727952293
,2019-01-03 12:00,0.3701522896980093
,2019-01-03 13:00,0.2264347341498566
,2019-01-03 14:00,0.02993344406928271
,2019-01-03 15:00,7.945818879670042E-5
,2019-01-03 16:00,7.845540140426696E-5
,2019-01-03 17:00,7.800794536726875E-5
,2019-01-03 18:00,7.81961103515147E-5
,2019-01-03 19:00,7.812193656799572E-5
,2019-01-03 20:00,7.807062926812405E-5
,2019-01-03 21:00,7.791086023532864E-5
,2019-01-03 22:00,7.786429615135863E-5
,2019-01-03 23:00,7.796902181651956E-5
,2019-01-04 00:00,7.785330316793564E-5
,2019-01-04 01:00,7.791072225971398E-5
,2019-01-04 02:00,7.728615687405742E-5
,2019-01-04 03:00,7.739360398749806E-5
,2019-01-04 04:00,7.739671267880325E-5
,2019-01-04 05:00,7.654290996569808E-5
,2019-01-04 06:00,7.662779216706085E-5
,2019-01-04 07:00,0.08914466708293782
,2019-01-04 08:00,0.26755113673467334
,2019-01-04 09:00,0.38838956817115194
,2019-01-04 10:00,0.44994377379893746
,2019-01-04 11:00,0.4435971093392
,2019-01-04 12:00,0.3671880455195796
,2019-01-04 13:00,0.2249280217542662
,2019-01-04 14:00,0.02926423050008932
,2019-01-04 15:00,7.843251330254551E-5
,2019-01-04 16:00,7.76680314795038E-5
,2019-01-04 17:00,7.71752941387281E-5
,2019-01-04 18:00,7.692494731005893E-5
,2019-01-04 19:00,7.656392120048104E-5
,2019-01-04 20:00,7.63059996590855E-5
,2019-01-04 21:00,7.619319675800277E-5
,2019-01-04 22:00,7.591024344033332E-5
,2019-01-04 23:00,7.594960665077039E-5
,2019-01-05 00:00,7.579340142667955E-5
,2019-01-05 01:00,7.554125067627213E-5
,2019-01-05 02:00,7.547434851764233E-5
,2019-01-05 03:00,7.531135800377169E-5
,2019-01-05 04:00,7.513642473092645E-5
,2019-01-05 05:00,7.493197867609981E-5
,2019-01-05 06:00,7.484755925950809E-5
,2019-01-05 07:00,0.0882004459996169
,2019-01-05 08:00,0.268862929245417
,2019-01-05 09:00,0.39087941178057456
,2019-01-05 10:00,0.45127827630057005
,2019-01-05 11:00,0.4440093154497389
,2019-01-05 12:00,0.37183513211252217
,2019-01-05 13:00,0.22785238581546674
,2019-01-05 14:00,0.032286424646872335
,2019-01-05 15:00,8.12589453709181E-5
,2019-01-05 16:00,8.116716796817045E-5
,2019-01-05 17:00,8.114398810384726E-5
,2019-01-05 18:00,8.094936542723661E-5
,2019-01-05 19:00,8.073818647562792E-5
,2019-01-05 20:00,8.078180332447047E-5
,2019-01-05 21:00,8.072962904476276E-5
,2019-01-05 22:00,8.105671323781202E-5
,2019-01-05 23:00,8.092457038810104E-5
,2019-01-06 00:00,8.046121924632772E-5
,2019-01-06 01:00,7.980388853814109E-5
,2019-01-06 02:00,7.945801694870199E-5
,2019-01-06 03:00,7.971777968813572E-5
,2019-01-06 04:00,7.890185473784511E-5
,2019-01-06 05:00,7.821662198362274E-5
,2019-01-06 06:00,7.833573847943681E-5
,2019-01-06 07:00,0.08507863245764533
,2019-01-06 08:00,0.26716585384342967
,2019-01-06 09:00,0.39148639442964683
,2019-01-06 10:00,0.45363231947563004
,2019-01-06 11:00,0.4456893505429139
,2019-01-06 12:00,0.37052765326459075
,2019-01-06 13:00,0.22856931374131156
,2019-01-06 14:00,0.03287544333511187
,2019-01-06 15:00,8.177312866952467E-5
