@T,table
Created,2022-06-13 19:23
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2019-01-01 00:00,0.0
,2019-01-01 01:00,9.927552882970793E-6
,2019-01-01 02:00,9.909302167291754E-6
,2019-01-01 03:00,9.898874716459007E-6
,2019-01-01 04:00,9.861981626645255E-6
,2019-01-01 05:00,9.86267085050979E-6
,2019-01-01 06:00,9.844470330416346E-6
,2019-01-01 07:00,0.011386004601655772
,2019-01-01 08:00,0.03451902788392111
,2019-01-01 09:00,0.05054499779834435
,2019-01-01 10:00,0.05852164774290213
,2019-01-01 11:00,0.05735373407871207
,2019-01-01 12:00,0.04754609910762495
,2019-01-01 13:00,0.029092695148928954
,2019-01-01 14:00,0.003783815997227364
,2019-01-01 15:00,1.0175598343286025E-5
,2019-01-01 16:00,1.0029119508204615E-5
,2019-01-01 17:00,9.955537928177958E-6
,2019-01-01 18:00,9.9114250341267E-6
,2019-01-01 19:00,9.860440835924584E-6
,2019-01-01 20:00,9.822001090952361E-6
,2019-01-01 21:00,9.803999944874457E-6
,2019-01-01 22:00,9.76778810739694E-6
,2019-01-01 23:00,9.739042615257317E-6
,2019-01-02 00:00,9.70383487970004E-6
,2019-01-02 01:00,9.69499431556994E-6
,2019-01-02 02:00,9.68613927799242E-6
,2019-01-02 03:00,9.70374919583957E-6
,2019-01-02 04:00,9.797408021724761E-6
,2019-01-02 05:00,9.9546355682468E-6
,2019-01-02 06:00,1.0236362175224801E-5
,2019-01-02 07:00,0.011726178834548089
,2019-01-02 08:00,0.0350294510201788
,2019-01-02 09:00,0.051118945693585466
,2019-01-02 10:00,0.05910967716984283
,2019-01-02 11:00,0.05762227147652002
,2019-01-02 12:00,0.04751224947371416
,2019-01-02 13:00,0.029220395737223605
,2019-01-02 14:00,0.0039385821959978485
,2019-01-02 15:00,1.0163359130691501E-5
,2019-01-02 16:00,1.0049594590030496E-5
,2019-01-02 17:00,9.9844632541402E-6
,2019-01-02 18:00,9.93280428125854E-6
,2019-01-02 19:00,1.0015316099669743E-5
,2019-01-02 20:00,1.0001795952856176E-5
,2019-01-02 21:00,9.976152943252004E-6
,2019-01-02 22:00,9.993377915063129E-6
,2019-01-02 23:00,9.99501583433601E-6
,2019-01-03 00:00,9.987335799091688E-6
,2019-01-03 01:00,9.910749439797943E-6
,2019-01-03 02:00,9.975234189514249E-6
,2019-01-03 03:00,9.995221310039808E-6
,2019-01-03 04:00,9.986254589531511E-6
,2019-01-03 05:00,9.923234248295274E-6
,2019-01-03 06:00,9.942055650347117E-6
,2019-01-03 07:00,0.011263395473158236
,2019-01-03 08:00,0.034355244691133636
,2019-01-03 09:00,0.05010949429577317
,2019-01-03 10:00,0.05840015718301832
,2019-01-03 11:00,0.05708859907631125
,2019-01-03 12:00,0.04745542175615488
,2019-01-03 13:00,0.02903009412177639
,2019-01-03 14:00,0.0038376210345234117
,2019-01-03 15:00,1.0186947281628225E-5
,2019-01-03 16:00,1.0058384795418808E-5
,2019-01-03 17:00,1.0001018636829293E-5
,2019-01-03 18:00,1.0025142352758262E-5
,2019-01-03 19:00,1.001563289333275E-5
,2019-01-03 20:00,1.0009055034374844E-5
,2019-01-03 21:00,9.988571825042099E-6
,2019-01-03 22:00,9.982602070686968E-6
,2019-01-03 23:00,9.996028438015295E-6
,2019-01-04 00:00,9.98119271383787E-6
,2019-01-04 01:00,9.988554135860733E-6
,2019-01-04 02:00,9.90848165052015E-6
,2019-01-04 03:00,9.922256921474076E-6
,2019-01-04 04:00,9.922655471641409E-6
,2019-01-04 05:00,9.813193585345874E-6
,2019-01-04 06:00,9.824075918853922E-6
,2019-01-04 07:00,0.011428803472171477
,2019-01-04 08:00,0.034301427786496475
,2019-01-04 09:00,0.04979353438091675
,2019-01-04 10:00,0.05768509920499179
,2019-01-04 11:00,0.05687142427425621
,2019-01-04 12:00,0.047075390451228
,2019-01-04 13:00,0.028836925865931468
,2019-01-04 14:00,0.003751824423088362
,2019-01-04 15:00,1.0055450423403238E-5
,2019-01-04 16:00,9.957439933269682E-6
,2019-01-04 17:00,9.894268479324083E-6
,2019-01-04 18:00,9.862172732058803E-6
,2019-01-04 19:00,9.815887333394971E-6
,2019-01-04 20:00,9.782820469113492E-6
,2019-01-04 21:00,9.768358558718271E-6
,2019-01-04 22:00,9.732082492350393E-6
,2019-01-04 23:00,9.737129057791043E-6
,2019-01-05 00:00,9.717102747010165E-6
,2019-01-05 01:00,9.684775727727165E-6
,2019-01-05 02:00,9.67619852790283E-6
,2019-01-05 03:00,9.655302308175825E-6
,2019-01-05 04:00,9.632874965503359E-6
,2019-01-05 05:00,9.606663932833278E-6
,2019-01-05 06:00,9.595840930706135E-6
,2019-01-05 07:00,0.011307749487130333
,2019-01-05 08:00,0.03446960631351488
,2019-01-05 09:00,0.05011274510007349
,2019-01-05 10:00,0.05785618926930366
,2019-01-05 11:00,0.05692427121150479
,2019-01-05 12:00,0.04767117078365653
,2019-01-05 13:00,0.02921184433531615
,2019-01-05 14:00,0.0041392852111374655
,2019-01-05 15:00,1.041781350909203E-5
,2019-01-05 16:00,1.0406047175406434E-5
,2019-01-05 17:00,1.0403075397929103E-5
,2019-01-05 18:00,1.0378123772722607E-5
,2019-01-05 19:00,1.035104954815739E-5
,2019-01-05 20:00,1.0356641451855154E-5
,2019-01-05 21:00,1.0349952441636217E-5
,2019-01-05 22:00,1.039188631253997E-5
,2019-01-05 23:00,1.037494492155138E-5
,2019-01-06 00:00,1.0315540929016339E-5
,2019-01-06 01:00,1.0231267761300107E-5
,2019-01-06 02:00,1.0186925249833554E-5
,2019-01-06 03:00,1.022022816514557E-5
,2019-01-06 04:00,1.01156224022878E-5
,2019-01-06 05:00,1.002777204918237E-5
,2019-01-06 06:00,1.0043043394799557E-5
,2019-01-06 07:00,0.010907516981749365
,2019-01-06 08:00,0.03425203254402933
,2019-01-06 09:00,0.05019056338841609
,2019-01-06 10:00,0.05815798967636264
,2019-01-06 11:00,0.05713966032601442
,2019-01-06 12:00,0.04750354529033198
,2019-01-06 13:00,0.029303758171962922
,2019-01-06 14:00,0.0042148004275784304
